Degree,Major,Specialization,CGPA,Skills,Certification,Years of Experience,Preferred Industry,Job Role
MSc,Economics,Advertising and Brand Management,9.9,"Excel, Power BI, Content Writing, Python, Marketing Strategy","Udemy SEO Expert, Excel Advanced, Google Ads",2,Finance,Marketing Analyst
MBA,Data Science,Market Research and Consumer Behavior,8.98,"Python, Content Writing, Communication, Power BI, SEO","HubSpot Marketing, Power BI Certification, Data Analytics Certificate",2,Education,Marketing Analyst
BBA,Computer Science,Market Research and Consumer Behavior,6.53,"SEO, Excel, Marketing Strategy","Excel Advanced, Meta Blueprint",0,Consulting,Marketing Analyst
BA,Business Administration,Supply Chain and Marketing,6.55,"Excel, Marketing Strategy, SEO, Power BI, Python, SQL","Google Ads, Meta Blueprint",0,Retail,Marketing Analyst
BA,Business Administration,Advertising and Brand Management,7.45,"Marketing Strategy, Communication, Content Writing, SEO, Power BI, SQL",Google Ads,4,Finance,Marketing Analyst
M.Com,Computer Science,Marketing Management,6.41,"Communication, Content Writing, Google Analytics, Excel, SEO","Meta Blueprint, Google Ads, Udemy SEO Expert",0,Retail,Marketing Analyst
MBA,Computer Science,International Business,7.38,"SQL, Excel, Python, Communication","Google Ads, Meta Blueprint",5,FMCG,Marketing Analyst
B.Com,Data Science,Market Research and Consumer Behavior,9.54,"SEO, Communication, Google Analytics, Power BI",Coursera Marketing,0,Consulting,Marketing Analyst
B.Com,Business Administration,International Business,8.46,"Excel, Marketing Strategy, Python, SQL",Excel Advanced,0,Media,Marketing Analyst
BSc,Business Administration,E-commerce Management,7.29,"Marketing Strategy, Python, Excel, Power BI, SQL, Content Writing","HubSpot Marketing, Meta Blueprint, Excel Advanced, Google Ads",3,Education,Marketing Analyst
B.Tech,Statistics,E-commerce Management,7.19,"Content Writing, Excel, Google Analytics, SEO",Excel Advanced,3,E-commerce,Marketing Analyst
MBA,Business Administration,International Business,9.06,"Google Analytics, SQL, Excel, Communication, Content Writing, Python","Data Analytics Certificate, Power BI Certification",1,Retail,Marketing Analyst
MSc,Marketing,Finance and Marketing,8.66,"Power BI, Content Writing, Python","Excel Advanced, Udemy SEO Expert, Google Ads, Data Analytics Certificate",2,Consulting,Marketing Analyst
B.Tech,Statistics,E-commerce Management,7.96,"SQL, Excel, Communication, Marketing Strategy",Power BI Certification,4,Retail,Marketing Analyst
B.Com,Computer Science,Data Analytics,6.7,"Content Writing, Power BI, SEO, Google Analytics, Python","Power BI Certification, Udemy SEO Expert, Excel Advanced",2,Retail,Marketing Analyst
MBA,Economics,International Business,8.86,"SEO, Communication, Content Writing, Google Analytics",Udemy SEO Expert,4,E-commerce,Marketing Analyst
BSc,Data Science,Strategic Marketing,8.07,"Communication, Python, Power BI, Marketing Strategy, Google Analytics, SQL","Google Ads, Udemy SEO Expert",1,Healthcare,Marketing Analyst
BA,Statistics,E-commerce Management,8.07,"Python, Power BI, SQL, Content Writing",Google Ads,3,Retail,Marketing Analyst
BSc,Data Science,Supply Chain and Marketing,8.56,"Content Writing, SEO, SQL, Excel, Power BI",Meta Blueprint,5,Healthcare,Marketing Analyst
B.Com,Data Science,Finance and Marketing,7.5,"Python, Communication, Excel, SQL",Coursera Marketing,2,Education,Marketing Analyst
B.Com,Statistics,E-commerce Management,9.29,"Google Analytics, Excel, SEO","Meta Blueprint, Power BI Certification",5,Healthcare,Marketing Analyst
BBA,Marketing,Market Research and Consumer Behavior,7.35,"Content Writing, Marketing Strategy, Power BI, Google Analytics","Power BI Certification, Coursera Marketing, Meta Blueprint",5,Education,Marketing Analyst
M.Com,Finance,Finance and Marketing,7.17,"Marketing Strategy, SEO, Communication, Content Writing, Python, SQL",Google Ads,1,Technology,Marketing Analyst
B.Tech,Finance,International Business,7.48,"Python, Communication, Google Analytics, SQL, Marketing Strategy",Google Ads,4,Finance,Marketing Analyst
MBA,Finance,Marketing Management,6.2,"Power BI, Google Analytics, SQL, Content Writing, Python, Communication","Data Analytics Certificate, HubSpot Marketing, Power BI Certification",4,Education,Marketing Analyst
MSc,Marketing,Market Research and Consumer Behavior,9.51,"Communication, Content Writing, Python, SQL, Excel, Marketing Strategy","Meta Blueprint, Google Ads, HubSpot Marketing, Excel Advanced",1,Healthcare,Marketing Analyst
B.Tech,Economics,E-commerce Management,9.43,"Content Writing, Marketing Strategy, Excel, SEO, Power BI, Communication","Power BI Certification, Google Ads, Excel Advanced, Meta Blueprint",5,Media,Marketing Analyst
M.Com,Marketing,Strategic Marketing,9.87,"Power BI, Communication, Google Analytics, Content Writing","Udemy SEO Expert, Power BI Certification, Excel Advanced",5,Finance,Marketing Analyst
MSc,Finance,Market Research and Consumer Behavior,6,"Google Analytics, SEO, Excel, SQL","Coursera Marketing, Data Analytics Certificate, Power BI Certification, Google Ads",4,Education,Marketing Analyst
BBA,Finance,Data Analytics,9.45,"Marketing Strategy, Excel, Communication, Google Analytics","Google Ads, Data Analytics Certificate, HubSpot Marketing, Udemy SEO Expert",3,Technology,Marketing Analyst
MBA,Statistics,Digital Marketing,6.84,"Power BI, Excel, Python, SQL, Content Writing, Google Analytics",Meta Blueprint,5,Finance,Marketing Analyst
B.Com,Computer Science,Digital Marketing,6.33,"Communication, Excel, SQL",Coursera Marketing,3,Consulting,Marketing Analyst
BBA,Data Science,Digital Marketing,9.67,"Marketing Strategy, Python, Power BI, Excel, SEO, Google Analytics","Google Ads, Excel Advanced",5,Healthcare,Marketing Analyst
B.Tech,Statistics,Data Analytics,6.03,"Excel, Python, Power BI, Google Analytics, Content Writing, SEO","Udemy SEO Expert, Meta Blueprint, Data Analytics Certificate, Google Ads",3,Media,Marketing Analyst
B.Com,Economics,Data Analytics,9.64,"Marketing Strategy, Python, Power BI",Excel Advanced,2,Consulting,Marketing Analyst
BBA,Marketing,Marketing Management,6.81,"Python, Marketing Strategy, SQL, Content Writing, Communication, SEO",Power BI Certification,1,FMCG,Marketing Analyst
B.Tech,Marketing,Business Analytics,8.57,"Communication, SQL, Google Analytics, Content Writing, Python, Power BI","Excel Advanced, HubSpot Marketing, Coursera Marketing, Google Ads",4,Finance,Marketing Analyst
MSc,Finance,Advertising and Brand Management,6.29,"Communication, Excel, Google Analytics, Python",Excel Advanced,0,FMCG,Marketing Analyst
B.Tech,Economics,Market Research and Consumer Behavior,7.43,"Content Writing, Google Analytics, SQL, Marketing Strategy, Communication, SEO","Excel Advanced, Data Analytics Certificate, Udemy SEO Expert",5,Consulting,Marketing Analyst
BSc,Economics,Market Research and Consumer Behavior,9.15,"Python, SEO, Content Writing, Power BI, Marketing Strategy","HubSpot Marketing, Data Analytics Certificate, Excel Advanced, Udemy SEO Expert",3,Education,Marketing Analyst
BBA,Business Administration,Strategic Marketing,7.76,"Communication, Google Analytics, Power BI","Coursera Marketing, Power BI Certification, HubSpot Marketing",0,E-commerce,Marketing Analyst
BBA,Marketing,Advertising and Brand Management,9.43,"Power BI, Content Writing, Marketing Strategy, SQL, Communication","Data Analytics Certificate, HubSpot Marketing, Google Ads, Udemy SEO Expert",4,E-commerce,Marketing Analyst
B.Com,Computer Science,Advertising and Brand Management,8.54,"Content Writing, Communication, Google Analytics, Power BI",Udemy SEO Expert,3,FMCG,Marketing Analyst
MSc,Finance,International Business,9.19,"SQL, Power BI, SEO, Content Writing, Python","Udemy SEO Expert, Coursera Marketing, Excel Advanced, Meta Blueprint",5,FMCG,Marketing Analyst
BSc,Business Administration,Supply Chain and Marketing,9.3,"Content Writing, Python, SEO, SQL, Excel, Power BI","Udemy SEO Expert, Data Analytics Certificate",0,Consulting,Marketing Analyst
BA,Finance,Digital Marketing,8.55,"Marketing Strategy, Excel, SEO, Communication, Python","Meta Blueprint, Power BI Certification, Google Ads, Coursera Marketing",0,E-commerce,Marketing Analyst
B.Com,Data Science,International Business,7.53,"Content Writing, Power BI, Communication, Google Analytics","Google Ads, Coursera Marketing, Power BI Certification, Data Analytics Certificate",1,E-commerce,Marketing Analyst
B.Com,Business Administration,International Business,8.28,"Google Analytics, Marketing Strategy, Python","Data Analytics Certificate, HubSpot Marketing",5,Education,Marketing Analyst
MCA,Electronics,AI,7.5,"Python, R, Data Visualization, SQL, TensorFlow, Deep Learning, Excel","IBM Data Science, AWS ML Specialty, Deep Learning Specialization",0,IT,Data Scientist
B.Tech,Data Science,Computer Vision,8.38,"Python, PyTorch, Statistics, Machine Learning, EDA, Data Cleaning, Tableau","TensorFlow Developer, Deep Learning Specialization",3,E-commerce,Data Scientist
B.E,Data Science,Computer Vision,7.28,"Python, PyTorch, Statistics, Machine Learning, EDA, Data Cleaning, Tableau","Deep Learning Specialization, IBM Data Science",4,Automotive,Data Scientist
MCA,Data Science,AI,7.07,"Python, R, Data Visualization, SQL, TensorFlow, Deep Learning, Excel",IBM Data Science,4,E-commerce,Data Scientist
M.Sc,AI & ML,AI,8.93,"Python, Pandas, NumPy, Matplotlib, SQL, Statistics, Machine Learning, Power BI","TensorFlow Developer, IBM Data Science, Deep Learning Specialization",5,E-commerce,Data Scientist
BCA,Computer Science,Computer Vision,9.69,"Python, PyTorch, Statistics, Machine Learning, EDA, Data Cleaning, Tableau",AWS ML Specialty,5,E-commerce,Data Scientist
B.Tech,Information Technology,Machine Learning,9.22,"Python, Pandas, NumPy, Matplotlib, SQL, Statistics, Machine Learning, Power BI","Azure AI Engineer, IBM Data Science",5,Finance,Data Scientist
M.Tech,Mathematics,Big Data,9.6,"Python, PyTorch, Statistics, Machine Learning, EDA, Data Cleaning, Tableau","IBM Data Science, AWS ML Specialty",2,Telecom,Data Scientist
M.Sc,Information Technology,AI,8.1,"Python, R, Data Visualization, SQL, TensorFlow, Deep Learning, Excel","Deep Learning Specialization, AWS ML Specialty, Coursera ML by Andrew Ng",0,Automotive,Data Scientist
B.Tech,Information Technology,Computer Vision,9.74,"Python, Pandas, NumPy, Matplotlib, SQL, Statistics, Machine Learning, Power BI",Azure AI Engineer,0,E-commerce,Data Scientist
BCA,Information Technology,Computer Vision,7.74,"Python, R, Data Visualization, SQL, TensorFlow, Deep Learning, Excel","TensorFlow Developer, Coursera ML by Andrew Ng, Google Data Analytics",1,IT,Data Scientist
M.Sc,Electronics,AI,6.96,"Python, PyTorch, Statistics, Machine Learning, EDA, Data Cleaning, Tableau","Deep Learning Specialization, TensorFlow Developer, IBM Data Science",2,Research,Data Scientist
MCA,Information Technology,Deep Learning,6.5,"Python, R, Data Visualization, SQL, TensorFlow, Deep Learning, Excel",IBM Data Science,5,E-commerce,Data Scientist
B.E,Computer Science,Machine Learning,7.57,"Python, R, Data Visualization, SQL, TensorFlow, Deep Learning, Excel",TensorFlow Developer,1,IT,Data Scientist
BCA,Computer Science,Big Data,8.59,"Python, Pandas, NumPy, Matplotlib, SQL, Statistics, Machine Learning, Power BI","TensorFlow Developer, Google Data Analytics, AWS ML Specialty",3,Finance,Data Scientist
B.E,AI & ML,Computer Vision,6.81,"Python, R, Data Visualization, SQL, TensorFlow, Deep Learning, Excel","Coursera ML by Andrew Ng, AWS ML Specialty, TensorFlow Developer",2,IT,Data Scientist
MCA,Data Science,AI,8.39,"Python, Pandas, NumPy, Matplotlib, SQL, Statistics, Machine Learning, Power BI","Google Data Analytics, AWS ML Specialty",2,Research,Data Scientist
B.Tech,Information Technology,Deep Learning,9.82,"Python, PyTorch, Statistics, Machine Learning, EDA, Data Cleaning, Tableau","IBM Data Science, Coursera ML by Andrew Ng",0,E-commerce,Data Scientist
MCA,Information Technology,Big Data,7.23,"Python, R, Data Visualization, SQL, TensorFlow, Deep Learning, Excel","Azure AI Engineer, Coursera ML by Andrew Ng, AWS ML Specialty",1,IT,Data Scientist
B.E,Information Technology,Deep Learning,6.99,"Python, R, Data Visualization, SQL, TensorFlow, Deep Learning, Excel","Deep Learning Specialization, IBM Data Science",5,IT,Data Scientist
B.E,Data Science,Deep Learning,8.86,"Python, R, Data Visualization, SQL, TensorFlow, Deep Learning, Excel",Google Data Analytics,4,Research,Data Scientist
M.Sc,Computer Science,Computer Vision,7.53,"Python, PyTorch, Statistics, Machine Learning, EDA, Data Cleaning, Tableau",Coursera ML by Andrew Ng,3,Telecom,Data Scientist
MCA,Computer Science,Deep Learning,8.73,"Python, PyTorch, Statistics, Machine Learning, EDA, Data Cleaning, Tableau",Google Data Analytics,4,Finance,Data Scientist
MCA,Information Technology,Machine Learning,7.98,"Python, PyTorch, Statistics, Machine Learning, EDA, Data Cleaning, Tableau","TensorFlow Developer, Coursera ML by Andrew Ng, Deep Learning Specialization",0,IT,Data Scientist
B.Tech,AI & ML,Deep Learning,8.57,"Python, R, Data Visualization, SQL, TensorFlow, Deep Learning, Excel","TensorFlow Developer, Azure AI Engineer, IBM Data Science",3,Telecom,Data Scientist
B.Tech,AI & ML,Deep Learning,8.64,"Python, R, Data Visualization, SQL, TensorFlow, Deep Learning, Excel","Azure AI Engineer, TensorFlow Developer, IBM Data Science",3,Research,Data Scientist
M.Tech,Data Science,Big Data,9.07,"Python, PyTorch, Statistics, Machine Learning, EDA, Data Cleaning, Tableau","Azure AI Engineer, Coursera ML by Andrew Ng, AWS ML Specialty",1,Research,Data Scientist
M.Sc,AI & ML,Data Analytics,8.74,"Python, R, Data Visualization, SQL, TensorFlow, Deep Learning, Excel","Google Data Analytics, TensorFlow Developer",2,IT,Data Scientist
BCA,Data Science,Big Data,8.17,"Python, Pandas, NumPy, Matplotlib, SQL, Statistics, Machine Learning, Power BI","TensorFlow Developer, Google Data Analytics",3,Telecom,Data Scientist
B.Tech,Information Technology,AI,7.73,"Python, Pandas, NumPy, Matplotlib, SQL, Statistics, Machine Learning, Power BI","Deep Learning Specialization, Google Data Analytics, TensorFlow Developer",3,Telecom,Data Scientist
BCA,Information Technology,AI,6.89,"Python, Pandas, NumPy, Matplotlib, SQL, Statistics, Machine Learning, Power BI","AWS ML Specialty, Google Data Analytics",2,Finance,Data Scientist
M.Sc,Electronics,Data Analytics,8.87,"Python, Pandas, NumPy, Matplotlib, SQL, Statistics, Machine Learning, Power BI","TensorFlow Developer, Deep Learning Specialization",1,E-commerce,Data Scientist
BCA,AI & ML,Computer Vision,6.93,"Python, R, Data Visualization, SQL, TensorFlow, Deep Learning, Excel","IBM Data Science, Google Data Analytics, Coursera ML by Andrew Ng",1,Automotive,Data Scientist
MCA,Information Technology,AI,9.5,"Python, Pandas, NumPy, Matplotlib, SQL, Statistics, Machine Learning, Power BI",Google Data Analytics,3,Research,Data Scientist
MCA,Data Science,Data Analytics,8.13,"Python, R, Data Visualization, SQL, TensorFlow, Deep Learning, Excel",TensorFlow Developer,3,Healthcare,Data Scientist
B.Tech,AI & ML,AI,6.82,"Python, Pandas, NumPy, Matplotlib, SQL, Statistics, Machine Learning, Power BI","Coursera ML by Andrew Ng, AWS ML Specialty, TensorFlow Developer",3,Research,Data Scientist
M.Sc,Information Technology,Data Analytics,7.62,"Python, R, Data Visualization, SQL, TensorFlow, Deep Learning, Excel","Azure AI Engineer, IBM Data Science",0,Finance,Data Scientist
M.Sc,Data Science,Data Analytics,8.12,"Python, R, Data Visualization, SQL, TensorFlow, Deep Learning, Excel","AWS ML Specialty, IBM Data Science",3,Healthcare,Data Scientist
MCA,Computer Science,Data Analytics,8.42,"Python, Pandas, NumPy, Matplotlib, SQL, Statistics, Machine Learning, Power BI",Deep Learning Specialization,1,Telecom,Data Scientist
M.Sc,Information Technology,AI,7.48,"Python, Pandas, NumPy, Matplotlib, SQL, Statistics, Machine Learning, Power BI","Google Data Analytics, Coursera ML by Andrew Ng, Azure AI Engineer",1,Healthcare,Data Scientist
B.E,Electronics,Big Data,9.1,"Python, Pandas, NumPy, Matplotlib, SQL, Statistics, Machine Learning, Power BI","AWS ML Specialty, Google Data Analytics, Azure AI Engineer",3,E-commerce,Data Scientist
MCA,Electronics,AI,9.11,"Python, Pandas, NumPy, Matplotlib, SQL, Statistics, Machine Learning, Power BI","AWS ML Specialty, TensorFlow Developer",1,IT,Data Scientist
B.Tech,Computer Science,Machine Learning,9.55,"Python, Pandas, NumPy, Matplotlib, SQL, Statistics, Machine Learning, Power BI","AWS ML Specialty, Deep Learning Specialization",4,Healthcare,Data Scientist
B.E,AI & ML,Deep Learning,8.48,"Python, R, Data Visualization, SQL, TensorFlow, Deep Learning, Excel",AWS ML Specialty,2,Telecom,Data Scientist
B.Tech,Information Technology,Data Analytics,8.02,"Python, Pandas, NumPy, Matplotlib, SQL, Statistics, Machine Learning, Power BI","Google Data Analytics, TensorFlow Developer",2,Healthcare,Data Scientist
M.Tech,Information Technology,Computer Vision,9.19,"Python, R, Data Visualization, SQL, TensorFlow, Deep Learning, Excel","IBM Data Science, TensorFlow Developer, AWS ML Specialty",5,Finance,Data Scientist
M.Sc,Electronics,Computer Vision,8.81,"Python, PyTorch, Statistics, Machine Learning, EDA, Data Cleaning, Tableau","Azure AI Engineer, AWS ML Specialty",2,Healthcare,Data Scientist
B.Tech,Mathematics,Machine Learning,8.36,"Python, R, Data Visualization, SQL, TensorFlow, Deep Learning, Excel","Deep Learning Specialization, TensorFlow Developer, AWS ML Specialty",1,Finance,Data Scientist
M.Tech,Information Technology,AI,8.96,"Python, PyTorch, Statistics, Machine Learning, EDA, Data Cleaning, Tableau","TensorFlow Developer, Coursera ML by Andrew Ng",3,Finance,Data Scientist
M.Tech,AI & ML,AI,9.38,"Python, R, Data Visualization, SQL, TensorFlow, Deep Learning, Excel","TensorFlow Developer, AWS ML Specialty, Azure AI Engineer",3,Healthcare,Data Scientist
B.E,Information Technology,AI,7.92,"Python, Pandas, NumPy, Matplotlib, SQL, Statistics, Machine Learning, Power BI","IBM Data Science, Deep Learning Specialization, Coursera ML by Andrew Ng",0,Automotive,Data Scientist
B.Tech,Computer Science,Data Analytics,6.68,"Python, PyTorch, Statistics, Machine Learning, EDA, Data Cleaning, Tableau","Deep Learning Specialization, IBM Data Science",2,IT,Data Scientist
B.E,Data Science,Data Analytics,7.58,"Python, R, Data Visualization, SQL, TensorFlow, Deep Learning, Excel","Google Data Analytics, AWS ML Specialty",5,Finance,Data Scientist
B.E,Electronics,Deep Learning,6.7,"Python, R, Data Visualization, SQL, TensorFlow, Deep Learning, Excel","IBM Data Science, TensorFlow Developer, Coursera ML by Andrew Ng",1,Research,Data Scientist
MCA,Mathematics,Deep Learning,8.54,"Python, PyTorch, Statistics, Machine Learning, EDA, Data Cleaning, Tableau",Deep Learning Specialization,2,Finance,Data Scientist
BCA,AI & ML,Big Data,9.3,"Python, Pandas, NumPy, Matplotlib, SQL, Statistics, Machine Learning, Power BI","Deep Learning Specialization, Azure AI Engineer",5,Telecom,Data Scientist
M.Tech,AI & ML,Computer Vision,7.39,"Python, PyTorch, Statistics, Machine Learning, EDA, Data Cleaning, Tableau","IBM Data Science, Coursera ML by Andrew Ng, TensorFlow Developer",4,Finance,Data Scientist
B.Tech,Data Science,AI,9.22,"Python, R, Data Visualization, SQL, TensorFlow, Deep Learning, Excel",Deep Learning Specialization,2,Telecom,Data Scientist
M.Tech,Computer Science,Computer Vision,7.14,"Python, PyTorch, Statistics, Machine Learning, EDA, Data Cleaning, Tableau","TensorFlow Developer, Coursera ML by Andrew Ng",4,E-commerce,Data Scientist
BCA,Information Technology,Machine Learning,9.66,"Python, R, Data Visualization, SQL, TensorFlow, Deep Learning, Excel","Google Data Analytics, Deep Learning Specialization",1,Healthcare,Data Scientist
BCA,Computer Science,AI,8.7,"Python, PyTorch, Statistics, Machine Learning, EDA, Data Cleaning, Tableau","Coursera ML by Andrew Ng, Google Data Analytics, Deep Learning Specialization",4,IT,Data Scientist
BCA,Mathematics,Deep Learning,9.41,"Python, Pandas, NumPy, Matplotlib, SQL, Statistics, Machine Learning, Power BI","IBM Data Science, TensorFlow Developer, Azure AI Engineer",1,Finance,Data Scientist
MCA,Computer Science,Big Data,7.65,"Python, PyTorch, Statistics, Machine Learning, EDA, Data Cleaning, Tableau",Deep Learning Specialization,1,Healthcare,Data Scientist
MCA,Information Technology,AI,7.19,"Python, PyTorch, Statistics, Machine Learning, EDA, Data Cleaning, Tableau","Azure AI Engineer, Coursera ML by Andrew Ng",0,Telecom,Data Scientist
BCA,Information Technology,Data Analytics,7.95,"Python, R, Data Visualization, SQL, TensorFlow, Deep Learning, Excel","IBM Data Science, Azure AI Engineer, TensorFlow Developer",0,Telecom,Data Scientist
BCA,Computer Science,Machine Learning,6.68,"Python, R, Data Visualization, SQL, TensorFlow, Deep Learning, Excel","AWS ML Specialty, TensorFlow Developer, IBM Data Science",4,IT,Data Scientist
M.Sc,Data Science,Deep Learning,8.91,"Python, PyTorch, Statistics, Machine Learning, EDA, Data Cleaning, Tableau","IBM Data Science, Coursera ML by Andrew Ng",0,Research,Data Scientist
B.Tech,Mathematics,AI,7.64,"Python, R, Data Visualization, SQL, TensorFlow, Deep Learning, Excel","Google Data Analytics, AWS ML Specialty",1,Automotive,Data Scientist
M.Sc,Data Science,Data Analytics,7.95,"Python, Pandas, NumPy, Matplotlib, SQL, Statistics, Machine Learning, Power BI","TensorFlow Developer, Coursera ML by Andrew Ng, Azure AI Engineer",1,Research,Data Scientist
M.Sc,Mathematics,Deep Learning,7.97,"Python, R, Data Visualization, SQL, TensorFlow, Deep Learning, Excel",Azure AI Engineer,2,Research,Data Scientist
M.Tech,Information Technology,Big Data,7.13,"Python, PyTorch, Statistics, Machine Learning, EDA, Data Cleaning, Tableau",IBM Data Science,5,Research,Data Scientist
B.E,Mathematics,Deep Learning,7.93,"Python, R, Data Visualization, SQL, TensorFlow, Deep Learning, Excel",TensorFlow Developer,5,Automotive,Data Scientist
B.Tech,Information Technology,AI,8.81,"Python, R, Data Visualization, SQL, TensorFlow, Deep Learning, Excel",Coursera ML by Andrew Ng,2,IT,Data Scientist
M.Tech,Electronics,Data Analytics,8.65,"Python, PyTorch, Statistics, Machine Learning, EDA, Data Cleaning, Tableau","Coursera ML by Andrew Ng, Azure AI Engineer",4,Finance,Data Scientist
M.Tech,Data Science,Data Analytics,6.77,"Python, Pandas, NumPy, Matplotlib, SQL, Statistics, Machine Learning, Power BI","IBM Data Science, Azure AI Engineer, AWS ML Specialty",5,E-commerce,Data Scientist
M.Tech,AI & ML,Data Analytics,8.8,"Python, PyTorch, Statistics, Machine Learning, EDA, Data Cleaning, Tableau","AWS ML Specialty, IBM Data Science",0,Healthcare,Data Scientist
BCA,Data Science,Big Data,7.49,"Python, PyTorch, Statistics, Machine Learning, EDA, Data Cleaning, Tableau",Deep Learning Specialization,3,IT,Data Scientist
M.Tech,Electronics,Big Data,9.35,"Python, Pandas, NumPy, Matplotlib, SQL, Statistics, Machine Learning, Power BI",Google Data Analytics,2,Automotive,Data Scientist
M.Sc,Mathematics,Big Data,9.39,"Python, Pandas, NumPy, Matplotlib, SQL, Statistics, Machine Learning, Power BI","Deep Learning Specialization, Azure AI Engineer",3,Healthcare,Data Scientist
M.Tech,AI & ML,Data Analytics,9.61,"Python, Pandas, NumPy, Matplotlib, SQL, Statistics, Machine Learning, Power BI","IBM Data Science, Google Data Analytics, Coursera ML by Andrew Ng",5,Telecom,Data Scientist
MCA,Mathematics,Computer Vision,8.21,"Python, R, Data Visualization, SQL, TensorFlow, Deep Learning, Excel","Deep Learning Specialization, Google Data Analytics",1,Automotive,Data Scientist
BCA,Information Technology,AI,7.06,"Python, Pandas, NumPy, Matplotlib, SQL, Statistics, Machine Learning, Power BI","IBM Data Science, Coursera ML by Andrew Ng, Deep Learning Specialization",5,IT,Data Scientist
B.Tech,Mathematics,Machine Learning,8.8,"Python, PyTorch, Statistics, Machine Learning, EDA, Data Cleaning, Tableau",Azure AI Engineer,3,Healthcare,Data Scientist
M.Tech,Data Science,Machine Learning,8.27,"Python, PyTorch, Statistics, Machine Learning, EDA, Data Cleaning, Tableau","Google Data Analytics, IBM Data Science",2,Healthcare,Data Scientist
BCA,Electronics,Machine Learning,9.89,"Python, Pandas, NumPy, Matplotlib, SQL, Statistics, Machine Learning, Power BI","Azure AI Engineer, Coursera ML by Andrew Ng, Deep Learning Specialization",0,Healthcare,Data Scientist
B.Tech,Mathematics,Data Analytics,9.18,"Python, PyTorch, Statistics, Machine Learning, EDA, Data Cleaning, Tableau","IBM Data Science, Coursera ML by Andrew Ng",0,Telecom,Data Scientist
B.E,Electronics,Computer Vision,7.88,"Python, R, Data Visualization, SQL, TensorFlow, Deep Learning, Excel",AWS ML Specialty,1,E-commerce,Data Scientist
M.Tech,AI & ML,Machine Learning,9.15,"Python, Pandas, NumPy, Matplotlib, SQL, Statistics, Machine Learning, Power BI",AWS ML Specialty,5,Telecom,Data Scientist
B.Tech,AI & ML,AI,8.15,"Python, R, Data Visualization, SQL, TensorFlow, Deep Learning, Excel","Deep Learning Specialization, Google Data Analytics",4,Automotive,Data Scientist
B.E,Information Technology,Data Analytics,6.95,"Python, Pandas, NumPy, Matplotlib, SQL, Statistics, Machine Learning, Power BI","TensorFlow Developer, Coursera ML by Andrew Ng",2,E-commerce,Data Scientist
MCA,Electronics,Data Analytics,6.7,"Python, R, Data Visualization, SQL, TensorFlow, Deep Learning, Excel","Google Data Analytics, TensorFlow Developer",4,E-commerce,Data Scientist
B.Tech,Mathematics,Big Data,7.54,"Python, R, Data Visualization, SQL, TensorFlow, Deep Learning, Excel","IBM Data Science, Azure AI Engineer, AWS ML Specialty",5,Finance,Data Scientist
B.E,Data Science,AI,6.51,"Python, R, Data Visualization, SQL, TensorFlow, Deep Learning, Excel",Coursera ML by Andrew Ng,1,IT,Data Scientist
B.Tech,Information Technology,Big Data,6.58,"Python, R, Data Visualization, SQL, TensorFlow, Deep Learning, Excel","Google Data Analytics, Deep Learning Specialization",3,Telecom,Data Scientist
B.Tech,Information Technology,Data Analytics,6.64,"Python, Pandas, NumPy, Matplotlib, SQL, Statistics, Machine Learning, Power BI","Azure AI Engineer, Coursera ML by Andrew Ng, IBM Data Science",2,E-commerce,Data Scientist
BCA,Mathematics,Data Analytics,6.84,"Python, PyTorch, Statistics, Machine Learning, EDA, Data Cleaning, Tableau","Google Data Analytics, TensorFlow Developer, Azure AI Engineer",1,Telecom,Data Scientist
B.Tech,Information Technology,Big Data,7.8,"Python, PyTorch, Statistics, Machine Learning, EDA, Data Cleaning, Tableau","Azure AI Engineer, TensorFlow Developer",0,IT,Data Scientist
B.Tech,Information Technology,Machine Learning,6.66,"Python, R, Data Visualization, SQL, TensorFlow, Deep Learning, Excel","Google Data Analytics, TensorFlow Developer",4,Research,Data Scientist
M.Sc,Mathematics,Machine Learning,7.96,"Python, Pandas, NumPy, Matplotlib, SQL, Statistics, Machine Learning, Power BI","Deep Learning Specialization, IBM Data Science, AWS ML Specialty",0,Telecom,Data Scientist
M.Sc,Information Technology,Deep Learning,9.73,"Python, PyTorch, Statistics, Machine Learning, EDA, Data Cleaning, Tableau",Google Data Analytics,5,Research,Data Scientist
MCA,Data Science,Data Analytics,8.86,"Python, R, Data Visualization, SQL, TensorFlow, Deep Learning, Excel","IBM Data Science, Azure AI Engineer, AWS ML Specialty",2,E-commerce,Data Scientist
M.Tech,Computer Science,Computer Vision,9.62,"Python, Pandas, NumPy, Matplotlib, SQL, Statistics, Machine Learning, Power BI",IBM Data Science,5,Telecom,Data Scientist
BCA,Mathematics,Big Data,8.03,"Python, Pandas, NumPy, Matplotlib, SQL, Statistics, Machine Learning, Power BI","IBM Data Science, Deep Learning Specialization, TensorFlow Developer",0,Automotive,Data Scientist
BCA,Computer Science,AI,7.62,"Python, R, Data Visualization, SQL, TensorFlow, Deep Learning, Excel","AWS ML Specialty, Azure AI Engineer",2,IT,Data Scientist
M.Tech,Electronics,Machine Learning,7.55,"Python, Pandas, NumPy, Matplotlib, SQL, Statistics, Machine Learning, Power BI","Coursera ML by Andrew Ng, AWS ML Specialty",1,Healthcare,Data Scientist
